Time(ms),Volt,RPM
8104,0,89.41
8154,0,72.94
8204,0,61.18
8254,0,47.06
8304,0,37.65
8354,0,28.24
8404,0,18.82
8454,0,11.76
8504,0,4.71
8554,0,0.0
8604,0,0.0
8654,0,0.0
8704,0,0.0
8754,0,0.0
8804,0,0.0
8854,0,0.0
8904,0,0.0
8954,0,0.0
9004,0,0.0
9054,0,0.0
9104,0,0.0
9154,0,0.0
9204,0,0.0
9254,0,0.0
9304,0,0.0
9354,0,0.0
9404,0,0.0
9454,0,0.0
9504,0,0.0
9554,0,0.0
9604,0,0.0
9654,0,0.0
9704,0,0.0
9754,0,0.0
9804,0,0.0
9854,0,0.0
9904,0,0.0
9954,0,0.0
10004,0,0.0
10054,12,65.88
10104,12,105.88
10155,12,112.94
10205,12,115.29
10255,12,112.94
10305,12,115.29
10355,12,112.94
10405,12,115.29
10455,12,110.59
10505,12,115.29
10555,12,112.94
10605,12,115.29
10655,12,115.29
10705,12,112.94
10755,12,112.94
10805,12,115.29
10855,12,112.94
10905,12,115.29
10955,12,112.94
11005,12,115.29
11055,12,112.94
11105,12,112.94
11155,12,115.29
11205,12,115.29
11255,12,112.94
11305,12,115.29
11355,12,112.94
11405,12,112.94
11455,12,115.29
11505,12,115.29
11555,12,112.94
11606,12,115.29
11656,12,115.29
11706,12,112.94
11756,12,115.29
11806,12,115.29
11856,12,115.29
11906,12,110.59
11956,12,115.29
12006,12,115.29
12056,0,105.88
12106,0,87.06
12156,0,75.29
12206,0,58.82
12256,0,47.06
12306,0,37.65
12356,0,28.24
12406,0,18.82
12456,0,9.41
12506,0,4.71
12556,0,2.35
12606,0,0.0
12656,0,0.0
12706,0,0.0
12756,0,0.0
12806,0,0.0
12856,0,0.0
12906,0,0.0
12956,0,0.0
13006,0,0.0
13056,0,0.0
13106,0,0.0
13156,0,0.0
13206,0,0.0
13256,0,0.0
13306,0,0.0
13356,0,0.0
13406,0,0.0
13456,0,0.0
13506,0,0.0
13556,0,0.0
13606,0,0.0
13656,0,0.0
13706,0,0.0
13756,0,0.0
13806,0,0.0
13856,0,0.0
13906,0,0.0
13956,0,0.0
14006,0,0.0
14056,12,63.53
14106,12,105.88
14156,12,115.29
14206,12,112.94
14256,12,112.94
14306,12,112.94
14356,12,115.29
14406,12,115.29
14456,12,112.94
14507,12,115.29
14557,12,115.29
14607,12,112.94
14657,12,115.29
14707,12,115.29
14757,12,112.94
14807,12,112.94
14857,12,115.29
14907,12,115.29
14957,12,112.94
15007,12,115.29
15057,12,115.29
15107,12,112.94
15157,12,112.94
15207,12,115.29
15257,12,115.29
15307,12,115.29
15357,12,112.94
15407,12,112.94
15457,12,115.29
15507,12,115.29
15557,12,112.94
15607,12,115.29
15657,12,115.29
15707,12,112.94
15757,12,115.29
15807,12,112.94
15857,12,115.29
15907,12,115.29
15958,12,115.29
16008,12,115.29
16058,0,105.88
16108,0,89.41
16158,0,75.29
16208,0,61.18
16258,0,49.41
16308,0,37.65
16358,0,30.59
16408,0,18.82
16458,0,14.12
16508,0,4.71
16558,0,2.35
16608,0,0.0
16658,0,0.0
16708,0,0.0
16758,0,0.0
16808,0,0.0
16858,0,0.0
16908,0,0.0
16958,0,0.0
17008,0,0.0
17058,0,0.0
17108,0,0.0
17158,0,0.0
17208,0,0.0
17258,0,0.0
17308,0,0.0
17358,0,0.0
17408,0,0.0
17458,0,0.0
17508,0,0.0
17558,0,0.0
17608,0,0.0
17658,0,0.0
17708,0,0.0
17758,0,0.0
17808,0,0.0
17858,0,0.0
17908,0,0.0
17958,0,0.0
18008,0,0.0
18058,12,65.88
18108,12,105.88
18158,12,115.29
18208,12,112.94
18258,12,115.29
18308,12,110.59
18358,12,115.29
18408,12,115.29
18458,12,112.94
18508,12,115.29
18558,12,115.29
18608,12,110.59
18658,12,115.29
18708,12,115.29
18758,12,115.29
18808,12,112.94
18859,12,115.29
18909,12,115.29
18959,12,112.94
19009,12,115.29
19059,12,115.29
19109,12,115.29
19159,12,112.94
19209,12,112.94
19259,12,115.29
19309,12,115.29
19359,12,115.29
